Дата;Код;Комментарий;Картинка;Вес;Ед;Окраска;Материал;Цвет;Цвет металла;Форма;Отверстие;Диаметр;Длина;Ширина ;Толщина;Огранка;Вид;Производитель;Тема;Тип;Фасовка;Бренд;Вставка;Материал камня;Применение;Свойство камня;Серия;Стиль;Форма отверстия;Палитра;Размер;Номер цвета;;;;Хар2;К2;Уп2;Вес2;Хар3;К3;Уп3;Вес3;Хар4;К4;Уп4;Вес4;Ост2;Ост3;Ост4;ЦенаРозн2;ЦенаРозн3;ЦенаРозн4;ЦенаОпт2;ЦенаОпт3;ЦенаОпт4;Резерв2;Резерв3;Резерв4;ДопОписание
31.03.2020;УТ000003557;Бусины Акрил Смешанная Форма, Смешанный Стиль, Цвет: Голубой, Размер: 6~48х6~35х5~22мм, Отверстие 1.5~4мм, (УТ000003557);000003557.jpg;;50 г;;Акрил;Голубой;;Микс;Микс;;6~48мм;6~35мм;5~22мм;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Сине-голубая;20мм и больше;;;;;50 г, 50;50;50 г;250;;;;;;;;;;;;34,425;;;25,5;;;;;;Размер: Длина 6~48мм, Ширина 6~35мм, Толщина 5~22мм, Отверстие 1.5~4мм
31.03.2020;УТ000003558;Бусины Акрил Смешанная Форма, Смешанный Стиль, Цвет: Зеленый, Размер: 6~48х6~35х5~22мм, Отверстие 1.5~4мм, (УТ000003558);000003558.jpg;;50 г;;Акрил;Зеленый;;Микс;Микс;;6~48мм;6~35мм;5~22мм;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Салатово-зеленая;20мм и больше;;;;;50 г, 50;50;50 г;0;;;;;;;;;;;;34,425;;;25,5;;;;;;Размер: Длина 6~48мм, Ширина 6~35мм, Толщина 5~22мм, Отверстие 1.5~4мм
31.03.2020;УТ000003559;Бусины Акрил Смешанная Форма, Смешанный Стиль, Цвет: Красный, Размер: 6~48х6~35х5~22мм, Отверстие 1.5~4мм, (УТ000003559);000003559.jpg;;100 г;;Акрил;Красный;;Микс;Микс;;6x4мм;6~35мм;5~22мм;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Красно-розовая;20мм и больше;;;;;100 г, 100;100;100 г;0;;;;;;;;;;;;59,4;;;66;;;;;;Размер: Длина 6~48мм, Ширина 6~35мм, Толщина 5~22мм, Отверстие 1.5~4мм
31.03.2020;УТ000003560;Бусины Акрил Античные, Смешанная Форма, Длина: 9~19мм, Ширина 9~19.5мм, Толщина 5.5~19мм, Отверстие 1.5~3мм, около 90шт/50г, (УТ000003560);000003560.jpg;;25 г;;Акрил;Слоновая Кость;;Микс;2~2,9мм;;9~19мм;5.5~19мм;5.5~19мм;;;;;Античные;;;;;Бусины;;;Античный;;Коричнево-бежевая;15~19мм;;;;;25 г, 25;25;25 г;25;5 г, 5;5;5 г;5;;;;;;33;;29,8701;10,5;;13,7862;4,25001;;;;;Размер: Длина: 9~19мм, Ширина 9~19.5мм, Толщина 5.5~19мм, Отверстие 1.5~3мм
31.03.2020;УТ000003561;Бусины Акрил Смешанная Форма, Смешанный Стиль, Цвет: Синий, Размер: 6~48х6~35х5~22мм, Отверстие 1.5~4мм, (УТ000003561);000003561.jpg;;100 г;;Акрил;Синий;;Микс;Микс;;6~48мм;6~35мм;5~22мм;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Сине-голубая;20мм и больше;;;;;100 г, 100;100;100 г;0;;;;;;;;;;;;49,41;;;51;;;;;;Размер: Длина 6~48мм, Ширина 6~35мм, Толщина 5~22мм, Отверстие 1.5~4мм
31.03.2020;УТ000003562;Бусины Акриловые UV Покрытие, Глянцевые, Круглые, Цвет: Микс, Диаметр: 10мм, Отверстие 2мм, около 166шт/100г, (УТ000003562);000003562.jpg;;50 г;;Акрил;Микс;;Круглая;2~2,9мм;10мм;;;;;;;;С Покрытием;;;;;Бусины;;;Глянцевое UV Покрытие;;Микс Цветов;10~14мм;;;;;50 г, 50;50;50 г;0;;;;;;;;;;;;82,35;;;80,52;;;;;;
31.03.2020;УТ000003563;Бусины Акрил Матовые, Прозрачные, Конус, Цвет: Микс, Диаметр: 13мм, Длина 9мм, Отверстие 1мм, (УТ000003563);000003563.jpg;;100 г;;Акрил;Микс;;Конус;1~1,9мм;13мм;9мм;;;;;;;Прозрачные;;;;;Бусины;;;Матовый;;Микс Цветов;10~14мм;;;;;100 г, 100;100;100 г;0;500 г, 500;500;500 г;0;;;;;;;;65,88;;;43,8;;;;;;
31.03.2020;УТ000003567;Бусины Акриловые Античные, Круглые Плоские, Цвет: Античное Серебро, Размер: 24х18х8мм, Отверстие 2мм, около 70шт/100г, (УТ000003567);000003567.jpg;;100 г;;Акрил;Античное Серебро;;Круглая Плоская;2~2,9мм;;24мм;18мм;8мм;;;;;Античные;;;;;Бусины;;;Античный;;Черно-серая;20мм и больше;;;;;100 г, 100;100;100 г;100;500 г, 500;500;500 г;500;;;;;;;;49,41;;;43,8;;;;;;Размер: Длина 24мм, Ширина 18мм, Толщина 8мм, Отверстие 2мм, около 70шт/100г
31.03.2020;УТ000003568;Бусины Акрил Матовые, Трубка, Цвет: Черный, Размер: Длина 24мм, Ширина 10мм, Отверстие 1.5мм, (УТ000003568);000003568.jpg;;100 г;;Акрил;Черный;;Трубка;1~1,9мм;;24мм;10мм;;;;;;Красочные;;;;;Бусины;;;Матовый;;Черно-серая;20мм и больше;;;;;100 г, 100;100;100 г;0;;;;;;;;;;;;65,88;;;66;;;;;;Размер: Длина 24мм, Ширина 10мм, Отверстие 1.5мм
31.03.2020;УТ000003569;Бусины Акрил Матовые, Прозрачные, Цветок, Цвет: Микс, Размер: 10х6мм, Отверстие 1.5мм, около 95шт/25г, (УТ000003569);000003569.jpg;1100;25 г;;Акрил;Микс;;Цветок;1~1,9мм;10мм;;;6мм;;;;;Прозрачные;;;;;Бусины;;;Матовый;;Микс Цветов;10~14мм;0D Mixed Color;;;;25 г, 25;25;25 г;25;5 г, 5;5;5 г;5;;;;;41;30;;31,26;10,95;;15,50001;4,5;;3;;;Размер: Диаметр 10мм, Толщина 6мм, Отверстие 1.5мм, около 380шт/100г
